MapChunk(cid=0, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=0), ep=GameBlockPos(x=8, y=8, z=8)), leaf=false)
MapChunk(cid=1, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=0), ep=GameBlockPos(x=4, y=4, z=4)), leaf=true)
MapBlock(pos=GameBlockPos(x=2, y=2, z=2), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=2, z=2), parent=1, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=2), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=3, z=2), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=3, z=2), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=3, z=2), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=0, y=0, z=3), parent=1, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=0, z=3), parent=1, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=0, z=3), parent=1, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=0, z=3), parent=1, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=1, z=3), parent=1, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=1, z=3), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=1, z=3), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=1, z=3), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=0, y=2, z=3), parent=1, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=2, z=3), parent=1, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=2, z=3), parent=1, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=2, z=3), parent=1, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=3), parent=1, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=3, z=3), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=3, z=3), parent=1, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=3), parent=1, material=880, object=-1, temp=0, lux=0, p=0)
MapChunk(cid=2, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=4), ep=GameBlockPos(x=4, y=4, z=8)), leaf=true)
MapBlock(pos=GameBlockPos(x=0, y=0, z=4), parent=2, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=0, z=4), parent=2, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=0, z=4), parent=2, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=0, z=4), parent=2, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=1, z=4), parent=2, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=1, z=4), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=1, z=4), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=1, z=4), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=2, z=4), parent=2, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=2, z=4), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=2, z=4), parent=2, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=2, z=4), parent=2, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=0, y=3, z=4), parent=2, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=3, z=4), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=3, z=4), parent=2, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=4), parent=2, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=0, z=5), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=0, z=5), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=0, z=5), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=0, z=5), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=1, z=5), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=1, z=5), parent=2, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=1, z=5), parent=2, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=1, z=5), parent=2, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=2, z=5), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=2, z=5), parent=2, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=2, z=5), parent=2, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=2, z=5), parent=2, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=5), parent=2, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=3, z=5), parent=2, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=3, z=5), parent=2, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=5), parent=2, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=0, z=6), parent=2, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=0, z=6), parent=2, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=0, z=6), parent=2, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=0, z=6), parent=2, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=1, z=6), parent=2, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=1, z=6), parent=2, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=1, z=6), parent=2, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=1, z=6), parent=2, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=2, z=6), parent=2, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=2, z=6), parent=2, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=2, z=6), parent=2, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=2, z=6), parent=2, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=6), parent=2, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=3, z=6), parent=2, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=3, z=6), parent=2, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=6), parent=2, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=0, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=0, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=0, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=0, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=1, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=1, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=1, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=1, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=2, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=2, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=2, z=7), parent=2, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=2, z=7), parent=2, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=3, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=3, z=7), parent=2, material=815, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=7), parent=2, material=880, object=-1, temp=0, lux=0, p=0)
MapChunk(cid=3, pos=GameChunkPos(super=GameBlockPos(x=0, y=4, z=0), ep=GameBlockPos(x=4, y=8, z=4)), leaf=true)
MapBlock(pos=GameBlockPos(x=0, y=4, z=0), parent=3, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=1, y=4, z=0), parent=3, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=2, y=4, z=0), parent=3, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=4, z=0), parent=3, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=0, y=5, z=0), parent=3, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=1, y=5, z=0), parent=3, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=2, y=5, z=0), parent=3, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=5, z=0), parent=3, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=6, z=0), parent=3, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=1, y=6, z=0), parent=3, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=2, y=6, z=0), parent=3, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=3, y=6, z=0), parent=3, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=0, y=7, z=0), parent=3, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=1, y=7, z=0), parent=3, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=2, y=7, z=0), parent=3, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=3, y=7, z=0), parent=3, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=0, y=4, z=1), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=4, z=1), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=4, z=1), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=4, z=1), parent=3, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=5, z=1), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=5, z=1), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=5, z=1), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=5, z=1), parent=3, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=6, z=1), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=6, z=1), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=6, z=1), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=6, z=1), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=0, y=7, z=1), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=7, z=1), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=2, y=7, z=1), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=3, y=7, z=1), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=0, y=4, z=2), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=4, z=2), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=4, z=2), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=4, z=2), parent=3, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=5, z=2), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=5, z=2), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=5, z=2), parent=3, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=5, z=2), parent=3, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=6, z=2), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=6, z=2), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=6, z=2), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=6, z=2), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=0, y=7, z=2), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=7, z=2), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=2, y=7, z=2), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=3, y=7, z=2), parent=3, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=0, y=4, z=3), parent=3, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=4, z=3), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=4, z=3), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=4, z=3), parent=3, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=5, z=3), parent=3, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=5, z=3), parent=3, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=5, z=3), parent=3, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=5, z=3), parent=3, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=6, z=3), parent=3, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=6, z=3), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=6, z=3), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=6, z=3), parent=3, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=0, y=7, z=3), parent=3, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=7, z=3), parent=3, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=7, z=3), parent=3, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=7, z=3), parent=3, material=888, object=-1, temp=0, lux=0, p=0)
MapChunk(cid=4, pos=GameChunkPos(super=GameBlockPos(x=0, y=4, z=4), ep=GameBlockPos(x=4, y=8, z=8)), leaf=true)
MapBlock(pos=GameBlockPos(x=0, y=4, z=4), parent=4, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=4, z=4), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=4, z=4), parent=4, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=4, z=4), parent=4, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=5, z=4), parent=4, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=5, z=4), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=5, z=4), parent=4, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=5, z=4), parent=4, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=0, y=6, z=4), parent=4, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=6, z=4), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=6, z=4), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=6, z=4), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=7, z=4), parent=4, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=7, z=4), parent=4, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=7, z=4), parent=4, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=7, z=4), parent=4, material=888, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=4, z=5), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=4, z=5), parent=4, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=4, z=5), parent=4, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=4, z=5), parent=4, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=5, z=5), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=5, z=5), parent=4, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=5, z=5), parent=4, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=5, z=5), parent=4, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=6, z=5), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=6, z=5), parent=4, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=6, z=5), parent=4, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=6, z=5), parent=4, material=827, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=7, z=5), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=7, z=5), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=7, z=5), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=7, z=5), parent=4, material=825, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=4, z=6), parent=4, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=4, z=6), parent=4, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=4, z=6), parent=4, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=4, z=6), parent=4, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=5, z=6), parent=4, material=840, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=1, y=5, z=6), parent=4, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=2, y=5, z=6), parent=4, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=5, z=6), parent=4, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=6, z=6), parent=4, material=840, object=-1, temp=0, lux=0, p=0)
