MapChunk(cid=0, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=0), ep=GameBlockPos(x=8, y=8, z=8)))
MapBlock(pos=GameBlockPos(x=1, y=3, z=1), parent=4, material=3856880631809, object=3474628542465, p=1)
MapChunk(cid=5, pos=GameChunkPos(super=GameBlockPos(x=0, y=2, z=2), ep=GameBlockPos(x=2, y=4, z=4)))
MapBlock(pos=GameBlockPos(x=0, y=2, z=2), parent=5, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=2, z=2), parent=5, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=3, z=2), parent=5, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=3, z=2), parent=5, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=2, z=3), parent=5, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=2, z=3), parent=5, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=3), parent=5, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=3, z=3), parent=5, material=3856880631809, object=3474628542465, p=1)
MapChunk(cid=6, pos=GameChunkPos(super=GameBlockPos(x=2, y=0, z=0), ep=GameBlockPos(x=4, y=2, z=2)))
MapBlock(pos=GameBlockPos(x=2, y=0, z=0), parent=6, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=0, z=0), parent=6, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=1, z=0), parent=6, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=1, z=0), parent=6, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=0, z=1), parent=6, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=0, z=1), parent=6, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=1, z=1), parent=6, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=1, z=1), parent=6, material=3856880631809, object=3474628542465, p=1)
MapChunk(cid=7, pos=GameChunkPos(super=GameBlockPos(x=2, y=0, z=2), ep=GameBlockPos(x=4, y=2, z=4)))
MapBlock(pos=GameBlockPos(x=2, y=0, z=2), parent=7, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=0, z=2), parent=7, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=1, z=2), parent=7, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=1, z=2), parent=7, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=0, z=3), parent=7, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=0, z=3), parent=7, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=1, z=3), parent=7, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=1, z=3), parent=7, material=3856880631809, object=3474628542465, p=1)
MapChunk(cid=8, pos=GameChunkPos(super=GameBlockPos(x=2, y=2, z=0), ep=GameBlockPos(x=4, y=4, z=2)))
MapBlock(pos=GameBlockPos(x=2, y=2, z=0), parent=8, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=2, z=0), parent=8, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=3, z=0), parent=8, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=0), parent=8, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=2, z=1), parent=8, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=2, z=1), parent=8, material=3779571220481, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=3, z=1), parent=8, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=3, z=1), parent=8, material=3779571220481, object=3474628542465, p=0)
MapChunk(cid=9, pos=GameChunkPos(super=GameBlockPos(x=2, y=2, z=2), ep=GameBlockPos(x=4, y=4, z=4)))
MapBlock(pos=GameBlockPos(x=2, y=2, z=2), parent=9, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=2, z=2), parent=9, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=3, z=2), parent=9, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=3, z=2), parent=9, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=2, z=3), parent=9, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=2, z=3), parent=9, material=3779571220481, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=3, z=3), parent=9, material=3779571220481, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=3), parent=9, material=3779571220481, object=3474628542465, p=0)
MapChunk(cid=10, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=4), ep=GameBlockPos(x=4, y=4, z=8)))
MapChunk(cid=11, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=4), ep=GameBlockPos(x=2, y=2, z=6)))
MapBlock(pos=GameBlockPos(x=0, y=0, z=4), parent=11, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=0, z=4), parent=11, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=1, z=4), parent=11, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=1, z=4), parent=11, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=0, z=5), parent=11, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=0, z=5), parent=11, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=1, z=5), parent=11, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=1, z=5), parent=11, material=3551937953793, object=3474628542465, p=0)
MapChunk(cid=12, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=6), ep=GameBlockPos(x=2, y=2, z=8)))
MapBlock(pos=GameBlockPos(x=0, y=0, z=6), parent=12, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=0, z=6), parent=12, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=1, z=6), parent=12, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=1, z=6), parent=12, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=0, z=7), parent=12, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=0, z=7), parent=12, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=1, z=7), parent=12, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=1, z=7), parent=12, material=3500398346241, object=3474628542465, p=0)
MapChunk(cid=13, pos=GameChunkPos(super=GameBlockPos(x=0, y=2, z=4), ep=GameBlockPos(x=2, y=4, z=6)))
MapBlock(pos=GameBlockPos(x=0, y=2, z=4), parent=13, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=2, z=4), parent=13, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=4), parent=13, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=3, z=4), parent=13, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=2, z=5), parent=13, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=2, z=5), parent=13, material=3551937953793, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=5), parent=13, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=3, z=5), parent=13, material=3551937953793, object=3474628542465, p=0)
MapChunk(cid=14, pos=GameChunkPos(super=GameBlockPos(x=0, y=2, z=6), ep=GameBlockPos(x=2, y=4, z=8)))
MapBlock(pos=GameBlockPos(x=0, y=2, z=6), parent=14, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=2, z=6), parent=14, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=6), parent=14, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=3, z=6), parent=14, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=2, z=7), parent=14, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=2, z=7), parent=14, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=7), parent=14, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=3, z=7), parent=14, material=3500398346241, object=3474628542465, p=0)
MapChunk(cid=15, pos=GameChunkPos(super=GameBlockPos(x=2, y=0, z=4), ep=GameBlockPos(x=4, y=2, z=6)))
MapBlock(pos=GameBlockPos(x=2, y=0, z=4), parent=15, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=0, z=4), parent=15, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=1, z=4), parent=15, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=1, z=4), parent=15, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=0, z=5), parent=15, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=0, z=5), parent=15, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=1, z=5), parent=15, material=3551937953793, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=1, z=5), parent=15, material=3551937953793, object=3474628542465, p=0)
MapChunk(cid=16, pos=GameChunkPos(super=GameBlockPos(x=2, y=0, z=6), ep=GameBlockPos(x=4, y=2, z=8)))
MapBlock(pos=GameBlockPos(x=2, y=0, z=6), parent=16, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=0, z=6), parent=16, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=1, z=6), parent=16, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=1, z=6), parent=16, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=0, z=7), parent=16, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=0, z=7), parent=16, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=1, z=7), parent=16, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=1, z=7), parent=16, material=3500398346241, object=3474628542465, p=0)
MapChunk(cid=17, pos=GameChunkPos(super=GameBlockPos(x=2, y=2, z=4), ep=GameBlockPos(x=4, y=4, z=6)))
MapBlock(pos=GameBlockPos(x=2, y=2, z=4), parent=17, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=2, z=4), parent=17, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=3, z=4), parent=17, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=4), parent=17, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=2, z=5), parent=17, material=3779571220481, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=2, z=5), parent=17, material=3779571220481, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=3, z=5), parent=17, material=3551937953793, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=5), parent=17, material=3779571220481, object=3474628542465, p=0)
MapChunk(cid=18, pos=GameChunkPos(super=GameBlockPos(x=2, y=2, z=6), ep=GameBlockPos(x=4, y=4, z=8)))
MapBlock(pos=GameBlockPos(x=2, y=2, z=6), parent=18, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=2, z=6), parent=18, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=3, z=6), parent=18, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=6), parent=18, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=2, z=7), parent=18, material=3779571220481, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=2, z=7), parent=18, material=3779571220481, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=3, z=7), parent=18, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=7), parent=18, material=3779571220481, object=3474628542465, p=0)
MapChunk(cid=19, pos=GameChunkPos(super=GameBlockPos(x=0, y=4, z=0), ep=GameBlockPos(x=4, y=8, z=4)))
MapChunk(cid=20, pos=GameChunkPos(super=GameBlockPos(x=0, y=4, z=0), ep=GameBlockPos(x=2, y=6, z=2)))
MapBlock(pos=GameBlockPos(x=0, y=4, z=0), parent=20, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=4, z=0), parent=20, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=5, z=0), parent=20, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=5, z=0), parent=20, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=4, z=1), parent=20, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=4, z=1), parent=20, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=5, z=1), parent=20, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=5, z=1), parent=20, material=3856880631809, object=3474628542465, p=1)
MapChunk(cid=21, pos=GameChunkPos(super=GameBlockPos(x=0, y=4, z=2), ep=GameBlockPos(x=2, y=6, z=4)))
MapBlock(pos=GameBlockPos(x=0, y=4, z=2), parent=21, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=4, z=2), parent=21, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=5, z=2), parent=21, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=5, z=2), parent=21, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=4, z=3), parent=21, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=4, z=3), parent=21, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=5, z=3), parent=21, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=5, z=3), parent=21, material=3779571220481, object=3474628542465, p=0)
MapChunk(cid=22, pos=GameChunkPos(super=GameBlockPos(x=0, y=6, z=0), ep=GameBlockPos(x=2, y=8, z=2)))
MapBlock(pos=GameBlockPos(x=0, y=6, z=0), parent=22, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=6, z=0), parent=22, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=7, z=0), parent=22, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=7, z=0), parent=22, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=6, z=1), parent=22, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=6, z=1), parent=22, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=7, z=1), parent=22, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=7, z=1), parent=22, material=3856880631809, object=3474628542465, p=1)
MapChunk(cid=23, pos=GameChunkPos(super=GameBlockPos(x=0, y=6, z=2), ep=GameBlockPos(x=2, y=8, z=4)))
MapBlock(pos=GameBlockPos(x=0, y=6, z=2), parent=23, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=6, z=2), parent=23, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=7, z=2), parent=23, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=1, y=7, z=2), parent=23, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=6, z=3), parent=23, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=6, z=3), parent=23, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=0, y=7, z=3), parent=23, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=7, z=3), parent=23, material=3813930958849, object=3474628542465, p=0)
MapChunk(cid=24, pos=GameChunkPos(super=GameBlockPos(x=2, y=4, z=0), ep=GameBlockPos(x=4, y=6, z=2)))
MapBlock(pos=GameBlockPos(x=2, y=4, z=0), parent=24, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=4, z=0), parent=24, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=5, z=0), parent=24, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=5, z=0), parent=24, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=4, z=1), parent=24, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=4, z=1), parent=24, material=3779571220481, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=5, z=1), parent=24, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=5, z=1), parent=24, material=3779571220481, object=3474628542465, p=0)
MapChunk(cid=25, pos=GameChunkPos(super=GameBlockPos(x=2, y=4, z=2), ep=GameBlockPos(x=4, y=6, z=4)))
MapBlock(pos=GameBlockPos(x=2, y=4, z=2), parent=25, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=4, z=2), parent=25, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=5, z=2), parent=25, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=5, z=2), parent=25, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=4, z=3), parent=25, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=4, z=3), parent=25, material=3779571220481, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=2, y=5, z=3), parent=25, material=3779571220481, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=5, z=3), parent=25, material=3779571220481, object=3474628542465, p=0)
MapChunk(cid=26, pos=GameChunkPos(super=GameBlockPos(x=2, y=6, z=0), ep=GameBlockPos(x=4, y=8, z=2)))
MapBlock(pos=GameBlockPos(x=2, y=6, z=0), parent=26, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=6, z=0), parent=26, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=7, z=0), parent=26, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=7, z=0), parent=26, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=6, z=1), parent=26, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=6, z=1), parent=26, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=7, z=1), parent=26, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=7, z=1), parent=26, material=3856880631809, object=3474628542465, p=1)
MapChunk(cid=27, pos=GameChunkPos(super=GameBlockPos(x=2, y=6, z=2), ep=GameBlockPos(x=4, y=8, z=4)))
MapBlock(pos=GameBlockPos(x=2, y=6, z=2), parent=27, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=6, z=2), parent=27, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=7, z=2), parent=27, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=7, z=2), parent=27, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=6, z=3), parent=27, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=3, y=6, z=3), parent=27, material=3856880631809, object=3474628542465, p=1)
MapBlock(pos=GameBlockPos(x=2, y=7, z=3), parent=27, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=3, y=7, z=3), parent=27, material=3813930958849, object=3474628542465, p=0)
MapChunk(cid=28, pos=GameChunkPos(super=GameBlockPos(x=0, y=4, z=4), ep=GameBlockPos(x=4, y=8, z=8)))
MapChunk(cid=29, pos=GameChunkPos(super=GameBlockPos(x=0, y=4, z=4), ep=GameBlockPos(x=2, y=6, z=6)))
MapBlock(pos=GameBlockPos(x=0, y=4, z=4), parent=29, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=4, z=4), parent=29, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=5, z=4), parent=29, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=5, z=4), parent=29, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=4, z=5), parent=29, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=4, z=5), parent=29, material=3551937953793, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=5, z=5), parent=29, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=5, z=5), parent=29, material=3551937953793, object=3474628542465, p=0)
MapChunk(cid=30, pos=GameChunkPos(super=GameBlockPos(x=0, y=4, z=6), ep=GameBlockPos(x=2, y=6, z=8)))
MapBlock(pos=GameBlockPos(x=0, y=4, z=6), parent=30, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=4, z=6), parent=30, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=5, z=6), parent=30, material=3607772528641, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=5, z=6), parent=30, material=3783866187777, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=4, z=7), parent=30, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=4, z=7), parent=30, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=5, z=7), parent=30, material=3500398346241, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=5, z=7), parent=30, material=3500398346241, object=3474628542465, p=0)
MapChunk(cid=31, pos=GameChunkPos(super=GameBlockPos(x=0, y=6, z=4), ep=GameBlockPos(x=2, y=8, z=6)))
MapBlock(pos=GameBlockPos(x=0, y=6, z=4), parent=31, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=6, z=4), parent=31, material=3543348019201, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=7, z=4), parent=31, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=1, y=7, z=4), parent=31, material=3813930958849, object=3474628542465, p=0)
MapBlock(pos=GameBlockPos(x=0, y=6, z=5), parent=31, material=3543348019201, object=3474628542465, p=0)
